loss_step,epoch,step,val_loss,loss_epoch
0.2026754548902924,0,49,,
0.1908726618918182,0,99,,
0.18013200256665288,0,149,,
0.19164711697003944,0,199,,
0.1787098330987141,0,249,,
0.176962293935541,0,299,,
,0,322,0.1766671298155617,
,0,322,,0.19718044077347946
0.1745073518351824,1,349,,
0.1843083925993672,1,399,,
0.17315138781800163,1,449,,
0.16342615599275706,1,499,,
0.17309410083637683,1,549,,
0.1684604386481649,1,599,,
,1,645,0.16294345569778626,
,1,645,,0.1730371307829081
0.17029716007939694,2,649,,
0.16324595646743648,2,699,,
0.15225825066461438,2,749,,
0.16219238884415668,2,799,,
0.15587953796460852,2,849,,
0.16016853272849277,2,899,,
0.15927955685176204,2,949,,
,2,968,0.15393871309388257,
,2,968,,0.16060012668183543
0.15281168347066415,3,999,,
0.14345854307924177,3,1049,,
0.15842349498418823,3,1099,,
0.14802091783371274,3,1149,,
0.15110097901718847,3,1199,,
0.1503787229504433,3,1249,,
,3,1291,0.1498053516863291,
,3,1291,,0.15398850546889356
0.15687685094982207,4,1299,,
0.15260617790460174,4,1349,,
0.14966423309558585,4,1399,,
0.14334554463051238,4,1449,,
0.1449589257165466,4,1499,,
0.15866717104055775,4,1549,,
0.15457331554161946,4,1599,,
,4,1614,0.1458599173433556,
,4,1614,,0.14986451295891237
0.15121041502327318,5,1649,,
0.13101607885358627,5,1699,,
0.13754531670652959,5,1749,,
