step,val_loss,epoch,loss_epoch,loss_step
23,916.2155151367188,0,,
23,,0,1030.941650390625,
47,917.1868286132812,1,,
47,,1,942.8193359375,
49,,2,,950.462158203125
71,892.68017578125,2,,
71,,2,922.263916015625,
95,879.62451171875,3,,
95,,3,900.3076782226562,
99,,4,,895.4679565429688
119,873.4808349609375,4,,
119,,4,872.7070922851562,
143,865.96630859375,5,,
143,,5,872.1460571289062,
149,,6,,846.8591918945312
167,845.2916870117188,6,,
167,,6,860.0742797851562,
191,839.3921508789062,7,,
191,,7,841.5315551757812,
199,,8,,889.88134765625
215,835.690185546875,8,,
215,,8,840.4439697265625,
239,824.2440185546875,9,,
239,,9,826.8951416015625,
249,,10,,822.6426391601562
263,816.982421875,10,,
263,,10,816.8814086914062,
287,814.2949829101562,11,,
287,,11,808.332763671875,
299,,12,,792.3052368164062
311,814.4359741210938,12,,
311,,12,792.1673583984375,
335,813.1388549804688,13,,
335,,13,799.1511840820312,
349,,14,,851.0508422851562
