epoch,loss_step,step,val_loss,loss_epoch
0,0.20267072793083368,49,,
0,0.19086425153217432,99,,
0,0.18022164633581875,149,,
0,0.19162635896251837,199,,
0,0.1785362691733907,249,,
0,0.17682747198495638,299,,
0,,322,0.1766614093003008,
0,,322,,0.1971721313562186
1,0.17461851187183836,349,,
1,0.18401385089308378,399,,
1,0.17305561648926943,449,,
1,0.16341637396727846,499,,
1,0.17305084747852106,549,,
1,0.1682184085954077,599,,
1,,645,0.16294989230080573,
1,,645,,0.1730534609793944
2,0.17078959748630496,649,,
2,0.163092835580566,699,,
2,0.1522030714259396,749,,
2,0.16155960550119314,799,,
2,0.1555619594922051,849,,
2,0.15983316728318187,899,,
2,0.16066898776083208,949,,
2,,968,0.1539797029847793,
2,,968,,0.16062154485501312
3,0.152010028905099,999,,
3,0.1429499921299503,1049,,
3,0.15861067903507672,1099,,
3,0.1472733861619007,1149,,
3,0.15119654322883333,1199,,
3,0.14957005731747586,1249,,
3,,1291,0.14979394066879137,
3,,1291,,0.15387699902691668
4,0.15678861150644252,1299,,
4,0.15297030791136496,1349,,
4,0.14933530196513958,1399,,
4,0.14403159685701894,1449,,
4,0.1456323188255813,1499,,
4,0.15984766377843898,1549,,
4,0.15378391920492301,1599,,
4,,1614,0.1458189787817767,
4,,1614,,0.14981436119878103
5,0.1524104384965786,1649,,
5,0.13044347944171855,1699,,
5,0.13945834873043356,1749,,
